map,UnknownMap_082EDF30_Layout,width,58,height,26,primary,gTileset_General,secondary,0
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,0x3203,0x3203,0x3203,0x3203,0x3203,0x3202,0x3202,0x3203,0x3203,0x3203,0x3203,0x3203,0x3202,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x020E,0x020F,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
1,0x3203,0x3203,0x020E,0x020F,0x3203,0x3203,0x3202,0x3202,0x3203,0x3203,0x3203,0x3202,0x3203,0x3203,0x3203,0x3203,0x3202,0x3203,0x3203,0x3203,0x3616,0x3617,0x3203,0x3203,0x020E,0x020F,0x020E,0x020F,0x3203,0x3203,0x3203,0x3203,0x020E,0x020F,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
2,0x3203,0x3202,0x0616,0x0617,0x3203,0x3203,0x3203,0x3203,0x3202,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x020E,0x020F,0x020E,0x020F,0x3203,0x3616,0x3617,0x3616,0x3617,0xF20B,0xF20C,0xF20C,0xF20D,0x3616,0x3617,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
3,0x3203,0xF20E,0xF20F,0xF20E,0xF20F,0xF20E,0xF20F,0xF20B,0xF20C,0xF20C,0xF20D,0xF20E,0xF20F,0xF208,0xF209,0xF209,0xF20A,0x3203,0x3203,0x3616,0x3617,0x3616,0x3617,0x3203,0xF20E,0xF20F,0xF20E,0xF20F,0x4213,0x4214,0x4214,0x4215,0xF20E,0xF20F,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
4,0x3203,0x3616,0x3617,0x3616,0x3617,0x3616,0x3617,0x4213,0x4214,0x4214,0x4215,0x3616,0x3617,0x4210,0x4211,0x4211,0x4212,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3616,0x3617,0x3616,0x3617,0x061B,0x061C,0x061F,0x061D,0x3616,0x3617,0x3203,0x3203,0x3203,0x3203,0x3203,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
5,0x0630,0x0605,0x0605,0x0605,0x0605,0x0605,0x0632,0x061B,0x061C,0x061F,0x061D,0x0647,0x0647,0x0618,0x0619,0x061E,0x061A,0x0632,0x124E,0x1264,0x1265,0x1264,0x1265,0x124F,0x124B,0x124C,0x1251,0x3203,0x0624,0x0225,0x0626,0x0627,0x020E,0x020F,0x3203,0x3203,0x3203,0x3203,0x3203,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
6,0x0638,0x3207,0x3207,0x3207,0x3207,0x3207,0x063A,0x0624,0x0221,0x0626,0x0627,0x3207,0x0601,0x0620,0x0221,0x0622,0x0623,0x063A,0x1256,0x1263,0x1263,0x1263,0x1257,0x1263,0x1253,0x1254,0x1261,0x020E,0x020F,0x3202,0x0601,0x3203,0x0616,0x0617,0x3203,0x3203,0x3203,0x3203,0x3203,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
7,0x0638,0x3207,0x3266,0x3266,0x3266,0x3266,0x0648,0x0604,0x3202,0x0604,0x0604,0x3207,0x3207,0x0604,0x3202,0x0604,0x0604,0x063A,0x1256,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1261,0x0616,0x0617,0x3202,0x3202,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
8,0x0638,0x3207,0x3266,0x3266,0x3266,0x3266,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x063A,0x1256,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1263,0x1261,0x3202,0x3202,0x3202,0x3203,0x020E,0x020F,0x3203,0x3203,0x3203,0x3203,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
9,0x0638,0x3207,0x3266,0x3266,0x3266,0x3266,0x3207,0x3207,0x3207,0xF208,0xF209,0xF209,0xF20A,0x0649,0x0649,0x0649,0x0649,0x0642,0x125E,0x125F,0x125F,0x125F,0x125F,0x125F,0x125F,0x125F,0x1259,0x3203,0x3202,0x3203,0x3203,0x0616,0x0617,0x3203,0x3203,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3267,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
