map,UnknownMap_08302970_Layout,width,60,height,40,primary,gTileset_General,secondary,gTileset_Pacifidlog
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0474,0x047C,0x047C,0x047D,0x0475,0x0474,0x04A9,0x047C,0x047D,0x1180,0x1198,0x1170,0x1170,0x1170,0x119A,0x1181,0x047B,0x0489,0x0471,0x1473,0x147B,0x1489,0x3124,0x34E2,0x3124,0x3124,0x3124,0x3124,0x34E2,0x3124,0x3124,0x0475,0x0475,0x0471,0x0475,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
1,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0474,0x047C,0x047C,0x047D,0x0471,0x0471,0x0474,0x047D,0x0475,0x1180,0x1189,0x1189,0x1198,0x1170,0x1170,0x1170,0x1170,0x1170,0x119A,0x1181,0x047B,0x0489,0x147B,0x1489,0x1473,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x0474,0x047D,0x0475,0x0474,0x047D,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
2,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047D,0x0471,0x0471,0x0471,0x0474,0x047C,0x047D,0x0474,0x047D,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x119A,0x1181,0x0473,0x0471,0x1473,0x147B,0x1489,0x3124,0x3124,0x3124,0x34E2,0x3124,0x0474,0x047C,0x047D,0x0471,0x0475,0x0475,0x1180,0x1198,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
3,0x0471,0x0471,0x0471,0x0471,0x0471,0x0474,0x04A9,0x04A9,0x04A9,0x047C,0x047C,0x047C,0x047D,0x0471,0x0474,0x047D,0x1180,0x1198,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0550,0x0565,0x0473,0x0471,0x147B,0x1489,0x147B,0x1489,0x34E2,0x3124,0x3124,0x0474,0x047D,0x0471,0x0474,0x047C,0x047D,0x0475,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
4,0x0471,0x0471,0x0474,0x047C,0x047C,0x047D,0x0471,0x0471,0x0471,0x0474,0x04A9,0x04A9,0x04A9,0x047C,0x047D,0x1180,0x1198,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0558,0x056D,0x047B,0x1489,0x0471,0x147B,0x1489,0x147B,0x047C,0x047C,0x047C,0x047D,0x0471,0x0474,0x047D,0x0474,0x047C,0x047D,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
5,0x047C,0x047C,0x047D,0x0471,0x0474,0x04A9,0x047C,0x047C,0x047C,0x047D,0x1180,0x1189,0x1189,0x1189,0x1189,0x1198,0x1170,0x1170,0x1575,0x1576,0x1170,0x1170,0x1170,0x1170,0x1170,0x0550,0x0551,0x1170,0x119A,0x1181,0x147B,0x1489,0x0471,0x147B,0x04A9,0x04A9,0x049F,0x04A9,0x04A9,0x047C,0x047D,0x0471,0x0475,0x1180,0x1189,0x1198,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
6,0x04A9,0x04A9,0x04A9,0x047C,0x047D,0x1180,0x1189,0x1189,0x1189,0x1189,0x1198,0x1575,0x1576,0x1170,0x1575,0x057B,0x1576,0x1170,0x157D,0x157E,0x1170,0x1170,0x1170,0x1170,0x1170,0x0558,0x0559,0x1170,0x1170,0x119A,0x1181,0x147B,0x147C,0x04A9,0x04A9,0x04A9,0x30A7,0x04A9,0x04A9,0x04A9,0x04A9,0x047C,0x047D,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
7,0x1180,0x1189,0x055A,0x055B,0x1189,0x1198,0x1170,0x1170,0x1170,0x1170,0x1170,0x157D,0x157E,0x1170,0x057A,0x1071,0x157C,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0550,0x0551,0x1170,0x1170,0x119A,0x1189,0x1189,0x1181,0x3124,0x3124,0x3124,0x3124,0x3124,0x1180,0x1189,0x055A,0x055B,0x1198,0x1170,0x1170,0x1170,0x1170,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
8,0x1198,0x1170,0x0558,0x0559,0x1170,0x1170,0x1170,0x1170,0x1575,0x1576,0x1170,0x1170,0x1170,0x1170,0x0582,0x0479,0x0584,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1575,0x1576,0x0558,0x0559,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x3124,0x3124,0x3124,0x3124,0x3124,0x1190,0x1170,0x0558,0x0559,0x0575,0x057B,0x057B,0x057B,0x0576,0x0558,0x0559,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
9,0x1170,0x1170,0x1170,0x1170,0x1575,0x057B,0x1576,0x1170,0x157D,0x157E,0x1170,0x1170,0x1575,0x1576,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0550,0x0551,0x157D,0x157E,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x119A,0x1189,0x1189,0x1189,0x1189,0x1189,0x1198,0x1170,0x1575,0x1576,0x0582,0x0479,0x0489,0x1071,0x057C,0x1170,0x1170,0x0575,0x0576,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
