map,UnknownMap_083041B4_Layout,width,27,height,46,primary,gTileset_General,secondary,gTileset_Cave
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0x06EB,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06EC,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
1,0x06F2,0x06EB,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06EC,0x06F0,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
2,0x06F2,0x06F2,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x06F0,0x06F8,0x06F9,0x06F9,0x06EC,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
3,0x06F2,0x06F4,0x06E9,0x0703,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x06F8,0x06F9,0x06F9,0x06EC,0x06F0,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
4,0x06F2,0x06F1,0x06F1,0x06F2,0x32F5,0x32F6,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x06F0,0x06F0,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
5,0x06F4,0x06E9,0x06EA,0x06F4,0x06E5,0x06E6,0x06E7,0x06E9,0x0703,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x06F0,0x06F0,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
6,0x06F1,0x06F1,0x06F2,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F2,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x06F0,0x06F0,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
7,0x06F1,0x06F1,0x06F4,0x06E9,0x06E9,0x06EA,0x06F1,0x06F1,0x06F2,0x06EB,0x06F9,0x06F9,0x3204,0x06F9,0x06F9,0x06EC,0x06F0,0x06F8,0x06EC,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
8,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F2,0x06F1,0x06F1,0x06F2,0x06F2,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x06F0,0x06F0,0x06F1,0x06F0,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
9,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F2,0x06F1,0x06F1,0x06F2,0x06F2,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x06F0,0x06F0,0x06F1,0x06F8,0x06EC,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
