map,UnreferencedMap_Layout,width,80,height,40,primary,gTileset_General,secondary,gTileset_Cave
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
1,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0570,0x0570,0x0570,0x0570,0x0570,0x0570,0x0570,0x0570,0x0570,0x0570,0x0570,0x0570,0x0570,0x0570,0x0570,0x0570,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
2,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0685,0x30D3,0x3002,0x3002,0x3002,0x3002,0x3002,0x3002,0x3002,0x3002,0x3002,0x3002,0x3002,0x3002,0x30D4,0x0686,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
3,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0685,0x3002,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x30D4,0x0686,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
4,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0685,0x3002,0x3001,0x300E,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x30D4,0x0686,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
5,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0570,0x0570,0x0685,0x0473,0x3001,0x300E,0x04C6,0x300E,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x0472,0x0686,0x0570,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
6,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0685,0x3002,0x3002,0x3002,0x300E,0x04C6,0x04C6,0x04C6,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3002,0x3002,0x30D4,0x0686,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
7,0x1170,0x1170,0x1170,0x1170,0x1170,0x1572,0x057B,0x057B,0x057B,0x057B,0x057B,0x057B,0x1576,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0685,0x3002,0x3001,0x3001,0x300E,0x04C6,0x04C6,0x04C6,0x04C6,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x30D4,0x0686,0x1170,0x1170,0x1170,0x1170,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
8,0x1170,0x1170,0x1170,0x1170,0x1572,0x14B4,0x1071,0x146B,0x106C,0x106C,0x046D,0x1071,0x04B4,0x1576,0x1170,0x1170,0x1170,0x1170,0x1575,0x1576,0x1170,0x1170,0x1170,0x1170,0x0550,0x0551,0x1170,0x0572,0x0473,0x3001,0x3001,0x3001,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3103,0x3104,0x3105,0x3001,0x0475,0x0574,0x1170,0x0550,0x0551,0x0558,0x0559,0x1170,0x1170,0x1170,0x1170,0x1170,0x1572,0x057B,0x057B,0x057B,0x057B,0x057B,0x057B,0x057B,0x1576,0x1170,0x1170,0x1170,0x1170
9,0x1170,0x1170,0x1170,0x1575,0x14B4,0x1071,0x146B,0x04B4,0x1071,0x1071,0x0475,0x1071,0x1071,0x157C,0x1575,0x1576,0x1170,0x1170,0x157D,0x157E,0x1170,0x1575,0x057B,0x1576,0x0558,0x0559,0x0572,0x0473,0x0473,0x3001,0x3001,0x3001,0x0416,0x04C6,0x04C6,0x0416,0x0416,0x3001,0x3001,0x3001,0x3001,0x300E,0x300E,0x300E,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x310B,0x350C,0x310D,0x3001,0x0475,0x0475,0x0574,0x0558,0x0559,0x1170,0x1575,0x1576,0x1170,0x1575,0x057B,0x057B,0x14B4,0x1071,0x146B,0x106C,0x106C,0x106C,0x046D,0x1071,0x04B4,0x1576,0x1170,0x1170,0x1170
10,0x1170,0x1575,0x1576,0x0582,0x0489,0x1071,0x147B,0x147C,0x147C,0x147C,0x147D,0x1071,0x0474,0x0584,0x157D,0x157E,0x1170,0x1170,0x1170,0x1170,0x1170,0x057A,0x1071,0x157C,0x11AD,0x067D,0x0473,0x0473,0x0473,0x3001,0x3001,0x3001,0x3001,0x0416,0x0416,0x3001,0x3001,0x3001,0x3001,0x3001,0x300E,0x04C6,0x34C6,0x34C6,0x300E,0x300E,0x300D,0x300D,0x300D,0x300D,0x300D,0x3113,0x3114,0x3115,0x3001,0x0475,0x0475,0x0475,0x067E,0x01AF,0x1170,0x157D,0x157E,0x1170,0x057A,0x1071,0x1071,0x1071,0x146B,0x10BE,0x146B,0x106C,0x046D,0x10BE,0x046D,0x1071,0x04B4,0x1576,0x1170,0x1170
