map,VerdanturfTown_Layout,width,20,height,20,primary,gTileset_General,secondary,gTileset_Mauville
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0x047C,0x047C,0x047D,0x0471,0x0471,0x0474,0x04A9,0x04A9,0x049F,0x04A9,0x047C,0x0660,0x063F,0x063F,0x063E,0x063B,0x063C,0x063D,0x0645,0x0472
1,0x0471,0x0471,0x0471,0x0471,0x0471,0x0475,0x0474,0x0491,0x00A7,0x0491,0x0491,0x0430,0x0431,0x0432,0x0433,0x0450,0x0451,0x0452,0x0453,0x047A
2,0x047C,0x047C,0x047C,0x047C,0x047C,0x047D,0x0472,0x3204,0x3204,0x3204,0x37B0,0x0438,0x0439,0x043A,0x043B,0x0458,0x0459,0x045A,0x045B,0x32C1
3,0x04CE,0x04CE,0x0795,0x0796,0x0796,0x0796,0x079C,0x0403,0x3204,0x3204,0x374E,0x0460,0x0441,0x0442,0x0443,0x0460,0x0461,0x0462,0x0463,0x04C7
4,0x04C7,0x04C7,0x079D,0x079E,0x079E,0x079E,0x07A4,0x3204,0x3204,0x3204,0x3723,0x3204,0x3001,0x3001,0x3205,0x3204,0x3001,0x3001,0x3204,0x06C9
5,0x04C7,0x04C7,0x07A5,0x07A6,0x07A6,0x07A6,0x07AC,0x3204,0x3204,0x3204,0x3204,0x3204,0x3001,0x3001,0x3204,0x3204,0x3001,0x3001,0x3204,0x3204
6,0x04C7,0x04C7,0x07AD,0x07AE,0x05D3,0x07AF,0x079F,0x3211,0x3204,0x3204,0x3204,0x3204,0x3001,0x3001,0x0403,0x3204,0x3001,0x3001,0x3204,0x3204
7,0x04C7,0x06C9,0x078E,0x078F,0x05DB,0x0797,0x07A7,0x3204,0x3204,0x3204,0x3204,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3204,0x3204
8,0x06C9,0x3213,0x3204,0x0403,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3205,0x3204,0x3204
9,0x3204,0x3204,0x3204,0x3204,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3204,0x3205,0x3204,0x3204
10,0x3214,0x3204,0x3204,0x3204,0x3205,0x3204,0x3205,0x3204,0x3204,0x3204,0x3211,0x3204,0x3204,0x3001,0x3001,0x3204,0x3204,0x3204,0x3204,0x3204
11,0x3388,0x3389,0x3389,0x338A,0x3205,0x3204,0x3205,0x3204,0x3388,0x3389,0x3389,0x3389,0x338A,0x3001,0x3001,0x3205,0x3204,0x3204,0x3204,0x3205
12,0x0790,0x0791,0x0791,0x0792,0x074D,0x074D,0x074D,0x074D,0x0790,0x0791,0x0791,0x0791,0x0792,0x3001,0x3001,0x3205,0x3388,0x3389,0x3389,0x338A
13,0x0798,0x0799,0x078B,0x078C,0x3214,0x3204,0x3213,0x3212,0x0798,0x078B,0x0799,0x078B,0x078C,0x3001,0x3001,0x3205,0x0790,0x0791,0x0791,0x0792
14,0x07A0,0x07A1,0x0793,0x0794,0x3204,0x3215,0x3214,0x0403,0x07A0,0x0793,0x07A1,0x0793,0x0794,0x3001,0x3001,0x3205,0x0798,0x0799,0x078B,0x078C
15,0x06B4,0x3205,0x3204,0x3204,0x3205,0x3205,0x3204,0x3205,0x3205,0x3204,0x3001,0x3001,0x3001,0x3001,0x3204,0x3204,0x07A0,0x07A1,0x0793,0x0794
16,0x06BC,0x3204,0x3205,0x3205,0x3204,0x3204,0x3204,0x3205,0x3204,0x3204,0x3204,0x3205,0x3204,0x3205,0x3204,0x3205,0x3204,0x3204,0x3204,0x3204
17,0x32C1,0x3216,0x3204,0x3205,0x3204,0x3204,0x3215,0x32C1,0x32C1,0x32C1,0x32C1,0x3204,0x3214,0x3205,0x3205,0x3204,0x3204,0x3204,0x3204,0x32C1
18,0x04C7,0x32C1,0x32C1,0x3216,0x3204,0x3204,0x32C1,0x04C7,0x04C7,0x04C7,0x04C7,0x32C1,0x32C1,0x3204,0x3204,0x06B3,0x06B3,0x06B3,0x32C1,0x04C7
19,0x04C7,0x04C7,0x04C7,0x32C1,0x32C1,0x32C1,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x32C1,0x32C1,0x32C1,0x32C1,0x32C1,0x04C7,0x04C7
