map,VictoryRoad_1F_Layout,width,46,height,45,primary,gTileset_General,secondary,gTileset_Cave
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0611
1,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x0611,0x0611,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0610,0x0611
2,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x0611,0x0611,0x0612,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0610,0x0610,0x0611
3,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x0611,0x0611,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3602,0x061F,0x0610,0x0610,0x0610,0x0611
4,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x061B,0x0619,0x0619,0x061A,0x0611,0x0611,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0627,0x0610,0x0610,0x0610,0x0611
5,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x061B,0x0619,0x0619,0x0619,0x0619,0x061A,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3207,0x3201,0x3603,0x0610,0x0610,0x0610,0x0611
6,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x0612,0x061B,0x0619,0x0619,0x0619,0x0619,0x061A,0x3201,0x3201,0x3201,0x0608,0x0609,0x0609,0x0609,0x0609,0x0658,0x0659,0x065A,0x0609,0x0623,0x0610,0x0610,0x0611
7,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x0612,0x0612,0x0608,0x0609,0x0609,0x0609,0x060A,0x3201,0x3201,0x3201,0x0610,0x0620,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0623,0x0610,0x0611
8,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x0612,0x0612,0x0610,0x0611,0x0611,0x0611,0x0612,0x3201,0x3201,0x3201,0x0610,0x0610,0x0611,0x0620,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x4623,0x0611
9,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x0612,0x0612,0x0610,0x0611,0x0611,0x0611,0x0612,0x3201,0x3201,0x3201,0x0610,0x0610,0x0611,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611
10,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x0612,0x0612,0x0610,0x0611,0x0611,0x0611,0x0612,0x3201,0x3201,0x3201,0x0610,0x0610,0x0611,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611
11,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x0612,0x0612,0x0610,0x0611,0x0611,0x0611,0x0612,0x3201,0x3201,0x3201,0x0610,0x0610,0x0611,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611
12,0x0611,0x0611,0x0611,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061A,0x0612,0x0612,0x0610,0x0611,0x0611,0x061B,0x061A,0x3201,0x3201,0x3201,0x0610,0x0610,0x0611,0x0618,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0611
13,0x0611,0x061B,0x0619,0x061A,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x061B,0x061C,0x4211,0x4211,0x4211,0x4211,0x4211,0x061B,0x0619,0x0619,0x0619,0x0619,0x061A,0x0612,0x0610,0x0611,0x0611,0x0612,0x3201,0x3201,0x3201,0x3201,0x0610,0x0618,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0610,0x0611
14,0x0611,0x0612,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x4205,0x4211,0x0612,0x0610,0x4211,0x4211,0x4211,0x4211,0x4211,0x0612,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x0618,0x0619,0x0619,0x061A,0x3201,0x3201,0x3201,0x3201,0x0618,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0610,0x0610,0x0611
15,0x0611,0x0612,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x0612,0x0610,0x4211,0x4211,0x4211,0x4211,0x4211,0x0612,0x0611,0x0611,0x0611,0x0611,0x0611,0x0623,0x0609,0x0609,0x0623,0x060A,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0608,0x0609,0x0609,0x0609,0x0609,0x0609,0x060A,0x0610,0x0610,0x0610,0x0611
16,0x0611,0x0612,0x4211,0x4211,0x4211,0x4211,0x061B,0x061C,0x4211,0x4211,0x4211,0x0612,0x0610,0x4211,0x4211,0x4211,0x4211,0x4211,0x0612,0x0611,0x0611,0x0611,0x0611,0x0620,0x4209,0x4209,0x4209,0x0622,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x0608,0x0623,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x0610,0x0610,0x0610,0x0611
17,0x0611,0x0612,0x4211,0x4211,0x4211,0x061B,0x061A,0x0618,0x0619,0x0619,0x0619,0x061A,0x0618,0x0619,0x061C,0x4211,0x4211,0x4211,0x42BB,0x42BB,0x42BC,0x42BC,0x42BD,0x42BD,0x4211,0x4211,0x4211,0x42BB,0x42BB,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0x42BD,0x42BC,0x4209,0x4209,0x4209,0x4209,0x0622,0x0612,0x0610,0x0610,0x0610,0x0611
18,0x0611,0x0612,0x4211,0x4211,0x4211,0x0612,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0610,0x4211,0x4211,0x4211,0x42C3,0x42C3,0x42C4,0x42C4,0x42C5,0x42C5,0x4211,0x4211,0x4211,0x42C3,0x42C3,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0xF2C4,0x42C5,0x42C4,0x4211,0x4211,0x4211,0x4211,0x0612,0x0612,0x0610,0x0610,0x0610,0x0611
19,0x0611,0x0612,0x4211,0x4211,0x4211,0x0612,0x0611,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0618,0x0619,0x0204,0x0619,0x061A,0x061B,0x0619,0x0619,0x061C,0x0618,0x0619,0x0619,0x0619,0x061A,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x061B,0x0619,0x0619,0x0204,0x061A,0x0612,0x0610,0x0610,0x0610,0x0611
20,0x0611,0x0612,0x4211,0x4211,0x061B,0x061A,0x061B,0x061A,0x061B,0x0619,0x0619,0x0619,0x061C,0x0618,0x0619,0x0619,0x0204,0x0619,0x0619,0x061A,0x3201,0x3201,0x0618,0x0619,0x0619,0x0619,0x0619,0x0619,0x061A,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0612,0x061B,0x0619,0x0204,0x0619,0x061A,0x0610,0x0610,0x0610,0x0611
21,0x0611,0x0612,0x4211,0x4211,0x0612,0x061B,0x061A,0x061B,0x061A,0x3201,0x3201,0x3201,0x0618,0x0619,0x0619,0x0619,0x0204,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0618,0x061A,0x0612,0x061B,0x0204,0x0619,0x061C,0x0610,0x0610,0x0618,0x061C
22,0x0611,0x0612,0x4211,0x4211,0x0612,0x0612,0x061B,0x061A,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0618,0x061C,0x0611,0x0612,0x0612,0x3201,0x3201,0x0610,0x0610,0x0618,0x061C,0x0610
23,0x0611,0x0612,0x4211,0x4211,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0618,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x3201,0x3201,0x3201,0x3201,0x0618,0x0619,0x061A,0x0612,0x3201,0x3201,0x0610,0x0618,0x061C,0x0610,0x0610
24,0x0611,0x0612,0x4211,0x4211,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x0608,0x0609,0x0609,0x0609,0x0609,0x0609,0x060A,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0612,0x3201,0x3201,0x0618,0x061C,0x0610,0x0610,0x0610
25,0x0611,0x0612,0x4211,0x4211,0x42BB,0x42BB,0x42BC,0xF2BC,0xF2BC,0xF2BC,0x42BD,0x42BC,0x4209,0x4209,0x4209,0x0622,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0612,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610,0x0610
26,0x0611,0x0612,0x4211,0x4211,0x42C3,0x42C3,0x42C4,0xF2C4,0xF2C4,0xF2C4,0x42C5,0x42C4,0x4211,0x4211,0x4211,0x0612,0x0612,0x3201,0x3201,0x0608,0x0609,0x0609,0x0609,0x0609,0x0609,0x060A,0x3201,0x3201,0x3201,0x3201,0x0610,0x0608,0x0609,0x0609,0x0609,0x060A,0x3201,0x3201,0x0612,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610,0x0610
27,0x0611,0x0612,0x061B,0x0619,0x061A,0x0612,0x0612,0x3201,0x3201,0x3201,0x0610,0x0618,0x0619,0x0204,0x0619,0x061A,0x0612,0x3201,0x3201,0x0610,0x0620,0x4209,0x4209,0x4209,0x42BC,0x42BB,0xF2BC,0xF2BC,0xF2BC,0xF2BC,0x42BC,0x42BD,0x42BC,0x4209,0x0622,0x0612,0x3201,0x3201,0x0612,0x364C,0x3651,0x364D,0x0610,0x0610,0x0610,0x0610
28,0x0611,0x0612,0x0612,0x061B,0x0619,0x061A,0x0612,0x3201,0x3201,0x3201,0x0618,0x0619,0x0619,0x0204,0x0619,0x0619,0x061A,0x0750,0x3603,0x0610,0x0610,0x4211,0x4211,0x4211,0x42C4,0x42C3,0xF2C4,0xF2C4,0xF2C5,0xF2C5,0x42C4,0x42C5,0x42C4,0x4211,0x0612,0x0612,0x3201,0x3201,0x0612,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610,0x0610
29,0x0611,0x0612,0x0612,0x0612,0x061B,0x0619,0x061A,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0638,0x0608,0x0623,0x0618,0x0204,0x0619,0x0619,0x061A,0x0612,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0618,0x0204,0x061A,0x0612,0x3201,0x3201,0x0612,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610,0x0610
30,0x0611,0x0612,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0638,0x0610,0x061B,0x0619,0x0204,0x0619,0x061C,0x0611,0x0623,0x060A,0x3201,0x3201,0x3201,0x0610,0x0618,0x0619,0x0204,0x0619,0x061A,0x3201,0x3201,0x0612,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610,0x0610
31,0x0611,0x0612,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0638,0x0610,0x0612,0x3201,0x3201,0x3201,0x0610,0x0611,0x0611,0x0612,0x3201,0x3201,0x3201,0x0610,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0612,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610,0x0610
32,0x0611,0x0612,0x0612,0x0612,0x0612,0x3201,0x3201,0x0608,0x0609,0x0609,0x0609,0x0609,0x0609,0x060A,0x3201,0x3201,0x3201,0x0638,0x0610,0x0612,0x3201,0x3205,0x3201,0x0610,0x0611,0x0611,0x0612,0x3201,0x3201,0x3201,0x0610,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0612,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610,0x0610
33,0x0611,0x0612,0x0612,0x0612,0x0612,0x3201,0x3201,0x0610,0x0620,0x4209,0x4209,0x4209,0x0622,0x0612,0x3201,0x3201,0x3201,0x0638,0x0610,0x0623,0x0609,0x0609,0x0609,0x0623,0x0611,0x0611,0x0612,0x3201,0x3201,0x3201,0x0618,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061A,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610,0x0610
34,0x0611,0x0612,0x0612,0x0612,0x0612,0x3201,0x3201,0x0610,0x0610,0x4211,0x4211,0x4211,0x42BB,0x42BB,0xF2BC,0xF2BC,0xF2BC,0x42BC,0x42BD,0x42BC,0x4209,0x4209,0x4209,0x0622,0x0611,0x061B,0x061A,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0608,0x0623,0x0610,0x0610,0x0610
35,0x0611,0x0612,0x0612,0x0612,0x0612,0x3201,0x3201,0x0610,0x0610,0x4211,0x4211,0x4211,0x42C3,0x42C3,0xF2C4,0xF2C4,0xF2C4,0x42C4,0x42C5,0x42C4,0x4211,0x4211,0x4211,0x0612,0x061B,0x061A,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0620,0x4223,0x0610,0x0610
36,0x0611,0x0612,0x0612,0x0612,0x0612,0x3201,0x3201,0x0610,0x0618,0x0204,0x0619,0x0619,0x061A,0x0612,0x3201,0x3201,0x3201,0x0638,0x0610,0x0618,0x0619,0x0204,0x0619,0x061A,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0608,0x0609,0x0609,0x0609,0x0623,0x0623,0x0623,0x0610,0x4211,0x0610,0x0610
37,0x0611,0x0612,0x0612,0x0612,0x0612,0x3201,0x3201,0x0618,0x0619,0x0204,0x0619,0x0619,0x0619,0x061A,0x3201,0x3201,0x3201,0x0638,0x0618,0x0619,0x0619,0x0204,0x0619,0x0619,0x061A,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0608,0x0623,0x0611,0x0611,0x0620,0x4209,0x4209,0x4223,0x4223,0x4211,0x0610,0x0610
38,0x0611,0x0612,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x061F,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0640,0x0651,0x0649,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0608,0x0609,0x0609,0x0623,0x0623,0x0609,0x0623,0x0611,0x0620,0x4209,0x4223,0x4211,0x4211,0x4211,0x4205,0x4211,0x0610,0x0610
39,0x0611,0x0612,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x0627,0x3603,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0638,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0620,0x4209,0x4209,0x4209,0x4209,0x4209,0x4209,0x4223,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x0610,0x0610
40,0x0611,0x0612,0x0612,0x0612,0x0623,0x0609,0x0609,0x0609,0x060A,0x3201,0x3201,0x3602,0x3201,0x3201,0x3201,0x3207,0x3201,0x3201,0x3201,0x0638,0x3201,0x3201,0x0608,0x0609,0x0609,0x0609,0x0609,0x0609,0x0623,0x0610,0x0620,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0623,0x0610
41,0x0611,0x0612,0x0612,0x0623,0x0609,0x0609,0x0609,0x0622,0x0623,0x0609,0x0609,0x0609,0x0609,0x0609,0x0658,0x0659,0x065A,0x0609,0x0609,0x0609,0x0623,0x0609,0x0623,0x0620,0x0609,0x0609,0x0609,0x0609,0x0609,0x0623,0x0610,0x0611,0x0611,0x0620,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0623
