map,VictoryRoad_B1F_Layout,width,46,height,31,primary,gTileset_General,secondary,gTileset_Cave
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,0x0611,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x4211
1,0x0611,0x0612,0x0611,0x0611,0x0611,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0611,0x0611,0x0611,0x0611,0x0611,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0611,0x0611,0x0611,0x0611,0x0611,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x4211,0x4211,0x4211,0x0610,0x4211
2,0x061B,0x061A,0x061B,0x0619,0x0619,0x061A,0x061B,0x0619,0x060F,0x0619,0x061C,0x0611,0x0618,0x0619,0x0619,0x061C,0x0611,0x061B,0x061A,0x0611,0x061B,0x0619,0x061C,0x0611,0x0618,0x0619,0x0619,0x0619,0x0619,0x0619,0x061A,0x061B,0x0619,0x0619,0x0619,0x061C,0x0611,0x0611,0x0611,0x0611,0x0610,0x4211,0x4205,0x4211,0x0610,0x4211
3,0x0612,0x0611,0x0612,0x061B,0x0619,0x0619,0x061A,0x3201,0x3216,0x3201,0x0618,0x0619,0x0619,0x061C,0x0611,0x0618,0x0619,0x061A,0x061B,0x0619,0x061A,0x3201,0x0618,0x0619,0x0619,0x0619,0x061C,0x0611,0x0611,0x0611,0x0611,0x0612,0x3201,0x3201,0x3201,0x0618,0x061C,0x0611,0x0611,0x0611,0x0610,0x4211,0x4211,0x4211,0x0610,0x4211
4,0x0612,0x0611,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0750,0x3201,0x0618,0x0619,0x0619,0x0619,0x0619,0x061A,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0618,0x0619,0x061C,0x0611,0x0611,0x0623,0x060A,0x3201,0x3201,0x3201,0x0618,0x061C,0x0611,0x0611,0x0610,0x4211,0x4211,0x4211,0x0610,0x4211
5,0x0612,0x061B,0x061A,0x0612,0x3201,0x0608,0x0609,0x0609,0x060A,0x3201,0x3201,0x0638,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0608,0x0609,0x060A,0x3201,0x3201,0x3201,0x0610,0x0611,0x0611,0x0611,0x0623,0x060A,0x3201,0x3201,0x3201,0x0610,0x0611,0x0611,0x0610,0x4211,0x4211,0x4211,0x0610,0x4211
6,0x0612,0x0612,0x061B,0x061A,0x3201,0x0618,0x0619,0x0619,0x061A,0x3201,0x3201,0x0752,0x3201,0x3201,0x3201,0x3201,0x0608,0x0609,0x0609,0x060A,0x3201,0x0608,0x0623,0x0611,0x0612,0x3201,0x3201,0x3201,0x0610,0x0611,0x0611,0x0611,0x0611,0x0623,0x060A,0x3201,0x3201,0x0610,0x0611,0x0620,0x4223,0x4211,0x4211,0x4211,0x0618,0x061C
7,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0608,0x0609,0x0609,0x0609,0x060A,0x3201,0x0610,0x0611,0x0611,0x0623,0x0609,0x0623,0x0611,0x0611,0x0612,0x3201,0x3201,0x0608,0x0623,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x3201,0x0608,0x0623,0x0611,0x0610,0x4211,0x4211,0x4211,0x4211,0x4211,0x0610
8,0x0612,0x0612,0x0623,0x060A,0x3201,0x0608,0x0609,0x0609,0x060A,0x3201,0x0610,0x0611,0x0611,0x0611,0x0612,0x3201,0x0618,0x061C,0x0620,0x4209,0x4209,0x4209,0x4209,0x42BC,0x42BB,0xF2BC,0xF2BC,0x42BD,0x42BC,0x4209,0x4209,0x4209,0x4209,0x060A,0x0612,0x3201,0x0610,0x0611,0x0611,0x0610,0x0666,0x4211,0x4211,0x4211,0x0666,0x0610
9,0x0612,0x0623,0x0622,0x0612,0x3201,0x0618,0x0619,0x0619,0x061A,0x3201,0x0618,0x061C,0x0611,0x0611,0x0612,0x3201,0x3201,0x0610,0x0610,0x4211,0x4211,0x4211,0x4211,0x42C4,0x42C3,0xF2C4,0xF2C4,0x42C5,0x42C4,0x4211,0x4211,0x4211,0x4211,0x0612,0x0612,0x3201,0x0618,0x061C,0x0611,0x0610,0x4211,0x4211,0x4211,0x4211,0x4211,0x0610
